uri,title,artist_name,artist_id,album_id,album_name,length,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:4crDpUinNgLQqGcuoEQmAD,Heaven's On Fire,The Radio Dept.,0utS63XytOEVN1EtzWhJpG,5TPGMVeiGVY9W1rnoYMkyQ,Clinging to a Scheme,212133,False,0,0.59,0.87,3,-4.536,1,0.0399,0.0596,1.52e-06,0.157,0.86,130.703
spotify:track:0d2O5TNHO2T5XR95TVmgfp,Default,Django Django,2ARO60gI5do88ho6azmzab,2iKuaJUhHIXk8p9xNFM7d9,Django Django,184080,False,0,0.743,0.833,5,-7.512,0,0.0286,0.00575,1.64e-06,0.107,0.909,115.986
spotify:track:2FzAQO9L5rasDJARWr6kWg,First Light,Django Django,2ARO60gI5do88ho6azmzab,24cGQaWNqMwLipOpN5sKHI,Born Under Saturn,288814,False,0,0.692,0.781,1,-7.059,1,0.0315,0.00846,0.000346,0.0615,0.534,108.99
spotify:track:70oCQbSwh1a2iY08n3WfoD,That's Life,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,0Cx7IYEdG2T70z9xFknhDT,Ultimate Sinatra,186133,False,0,0.458,0.692,2,-5.098,1,0.0485,0.458,0.0,0.587,0.576,112.755
spotify:track:6JEp2UWnsX43zGWE42Z5Fv,It Was A Very Good Year,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,0Cx7IYEdG2T70z9xFknhDT,Ultimate Sinatra,266106,False,0,0.234,0.202,7,-11.671,0,0.0295,0.849,1.11e-06,0.0865,0.127,82.908
spotify:track:1b3Ygq1vva369mQ2pXIqon,Montreal Rock Band Somewhere,Happyness,4nddgNqdf0SFeeqhbDN6rN,6mkNPrzBs6hjj5zmLhX8WI,Weird Little Birthday,304216,False,0,0.617,0.333,3,-12.981,1,0.0439,0.844,0.821,0.107,0.112,150.092
spotify:track:4teinH3IrEdjp8ZYHb59ca,Fuzzy,Grant Lee Buffalo,31ir0nQWMLTowZmZO8CiBw,0lpEvJEfpLXHd858t35DQt,Fuzzy,296533,False,0,0.56,0.401,5,-8.048,0,0.0228,0.128,0.0,0.0879,0.104,82.29
spotify:track:52BUOdNI2TneBPq4EFOtAy,Sugar Man,Rodríguez,5PrHzxc3kFm4hIrGNmelpX,4s7qz6sSmn1gzphGM9P5dK,Searching For Sugar Man,227893,False,0,0.479,0.591,5,-6.541,1,0.0416,0.746,0.0,0.634,0.477,98.121
spotify:track:2YlYHoXimSTWxXKgN3eX2t,I Wonder,Rodríguez,5PrHzxc3kFm4hIrGNmelpX,4s7qz6sSmn1gzphGM9P5dK,Searching For Sugar Man,154053,False,0,0.506,0.704,9,-6.634,1,0.0799,0.0989,0.000214,0.12,0.709,113.276
spotify:track:6BhIfXFnwUWMl2sqbTMjqP,So Good at Being in Trouble,Unknown Mortal Orchestra,1LeVJ5GPeYDOVUjxx1y7Rp,7fTfFjlkvhTCgHIIGHZXFw,II,230146,False,0,0.829,0.435,0,-10.136,1,0.0515,0.0363,0.878,0.119,0.594,103.816
