uri,title,artist_name,artist_id,album_id,album_name,length,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:2e4iMjeZPOtgz1KwdD7vuT,Love You Like That,Dagny,6Paz0vXJJ9bCPf0fEm3qzg,5t1uWaYd8mmc52PSfXxWIW,Love You Like That,177935,False,44,0.621,0.71,8,-5.972,1,0.0442,0.00648,4.95e-06,0.133,0.291,94.031
spotify:track:7kAYAYEfOy0ZkpGGLN3XiZ,Fredag,Kjartan Lauritzen,0TW5M8RYADmgeCP1q523hf,4Wg65hWpCXKiN8H4uULRkL,Fredag,218246,False,0,0.765,0.779,8,-7.915,1,0.173,0.000957,0.0,0.115,0.68,115.014
spotify:track:5zjKOmKIlJbO9IFlM5Fu1R,Havanna,Kjartan Lauritzen,0TW5M8RYADmgeCP1q523hf,5Pj79eKwxSko0vB7cu7qbT,Havanna,205364,False,41,0.681,0.69,5,-8.39,1,0.318,0.0846,0.0,0.679,0.347,104.881
spotify:track:26OfcIkRGrXFG3MeZq8vX8,Attitudeproblem (P3 remix),Bendik,4krYRNHjKcETSEY2Ghf9Mo,7soUBNYjiKmNva5v5vUkzs,Attitudeproblem (P3 remix),232500,False,0,0.691,0.704,11,-5.48,0,0.332,0.423,0.0,0.169,0.705,80.34
spotify:track:0kdOSSWcYye98wID8RIhdl,Tänd Alla Ljus,Silvana Imam,14vNE9iqS5eGAL6OogiN8g,4TGIEEN54PKQe0GuQGjZ4M,Jag Dör För Dig,230233,True,43,0.685,0.708,6,-5.768,0,0.257,0.057,0.0,0.104,0.458,96.088
spotify:track:14xZtVbG1Ue1Bv8fbVVSl5,För Evigt,Silvana Imam,14vNE9iqS5eGAL6OogiN8g,66gGBaMEf92Tt8mPpGxTMx,För Evigt,203937,False,35,0.623,0.814,0,-2.588,0,0.252,0.117,0.0,0.0593,0.386,77.39
spotify:track:74L6lPSnpSY5IiPcKwazZu,Missing U,Robyn,6UE7nl9mha6s8z0wFQFIZ2,2KkPC4rSyOk7QSLVKn3Zsa,Missing U,291200,False,23,0.704,0.677,5,-7.601,0,0.0449,0.0529,0.000114,0.169,0.0775,119.928
spotify:track:5S1IUPueD0xE0vj4zU3nSf,Bigger Than You (feat. Drake & Quavo),2 Chainz,17lzZA2AlOHwCwFALHttmp,3Lh72gPELN4MIUJd3dYN6I,Bigger Than You feat. Drake & Quavo,225893,True,57,0.888,0.515,1,-6.246,1,0.271,0.247,0.0,0.446,0.264,141.009
spotify:track:6H0AwSQ20mo62jGlPGB8S6,It's A Vibe,2 Chainz,17lzZA2AlOHwCwFALHttmp,5vvvo79z68vWj9yimoygfS,Pretty Girls Like Trap Music,210200,True,70,0.822,0.502,7,-7.38,1,0.148,0.0312,0.000887,0.114,0.525,73.003
spotify:track:6eTgnzT2IGzcHLqb3XDDHA,En Større Dag,Janove,43EvPY5EelfMkyqqJ9woOI,5AkevgUX9GarMJnqW8xV3F,Spindelvevriff,366977,False,0,0.241,0.263,5,-10.022,1,0.0321,0.932,0.000828,0.107,0.17,79.4
spotify:track:5prK1lqt5nyK5RuaHGfSBO,Marlene,Janove,43EvPY5EelfMkyqqJ9woOI,5AkevgUX9GarMJnqW8xV3F,Spindelvevriff,315693,False,0,0.328,0.38,2,-8.921,1,0.0299,0.872,0.00123,0.108,0.241,111.786
