uri,title,artist_name,artist_id,album_id,album_name,length,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:4aa8abhrII2D2REphtZlaq,Turn It Off,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,4tvURFzWBbtEs50K8Q4u92,Invitation,177120,False,40,0.871,0.538,6,-6.138,1,0.0651,0.133,0.0,0.0753,0.363,98.011
spotify:track:2xj3BQ7AzGTwUWaroRTVCx,Hard,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,2qIbHfs93z6eDwGoAdCkXA,8 Letters,196472,False,45,0.548,0.628,7,-5.139,0,0.0711,0.241,0.0,0.109,0.323,147.847
spotify:track:6Hgh47WXVKtXN5zGOu0hjI,OTW,Khalid,6LuN9FCkKOj5PcnpouEgny,0c4JocKlxYfBjZep8TJkcI,OTW,263013,True,74,0.652,0.678,2,-6.183,1,0.0541,0.183,3.26e-05,0.106,0.28,72.989
spotify:track:0B3LaidsxjnBTUlKgKQQe5,Sweatshirt,Jacob Sartorius,6czdbISBoxGckbBX8F4m8L,5e8IMTVt3MY6HuuhBmVpF4,Sweatshirt,171250,False,45,0.667,0.492,8,-8.612,1,0.03,0.321,0.0,0.0744,0.796,95.976
spotify:track:4keoy2fqgwGnbWlm3ZVZFa,Happy Now,Zedd,2qxJFvFYMEDqd7ui6kSAcq,0JcW7yCW3Qj8uMfzO2lUDb,Happy Now,207029,False,70,0.503,0.741,4,-5.128,1,0.047,0.579,1.49e-06,0.0712,0.458,88.335
spotify:track:5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),Silk City,2X97ZAqRKRMYFIDqtvGgGc,429B3se6xtZuvblNnS2iy7,Electricity (with Dua Lipa),238173,False,74,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159
spotify:track:7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",gnash,3iri9nBFs9e4wN7PLIetAw,3L0H4RjVXpEkwfDgi3XOdf,us,251033,True,78,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6
spotify:track:1ZWLWVqeEMWMKTlteS0yLH,Love You Goodbye,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,1gMxiQQSg5zeu4htBosASY,Made In The A.M. (Deluxe Edition),196933,False,68,0.546,0.657,1,-4.787,1,0.0332,0.0928,0.0,0.119,0.361,133.188
spotify:track:5CRVwXGikmqzoRO6q7FeAg,If I Could Fly,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,1gMxiQQSg5zeu4htBosASY,Made In The A.M. (Deluxe Edition),230320,False,71,0.565,0.245,5,-9.132,1,0.0262,0.781,0.0,0.0998,0.307,75.055
spotify:track:4UKCKdYiLN6IMA5ZESUTL7,the remedy for a broken heart (why am I so in love),XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,2Ti79nwTsont5ZHfdxIzAm,?,160184,True,80,0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705
spotify:track:0qvzXomUDJVaUboy2wMfiS,This Town,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,7ahctQBwcSxDdP0fRAPo2p,Flicker (Deluxe),232852,False,81,0.677,0.401,9,-8.467,1,0.0308,0.712,0.0,0.116,0.195,111.825
spotify:track:7Fg342AJtNsIDdwCfX0paC,Let Me,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,3f6U9vS5x9EjSITxR9spuf,Let Me,185702,False,0,0.46,0.567,9,-5.637,1,0.0515,0.239,6.04e-06,0.0934,0.189,168.419
spotify:track:33zcmmElV1YbRZe57biUjg,Celoso,Lele Pons,6i3DxIlAqnDkwELLw4aVrx,0gXUZc4bTQzNqLvIyeObHm,Celoso,179693,False,67,0.746,0.703,4,-4.179,0,0.107,0.352,0.0,0.331,0.667,166.043
spotify:track:54iSfkh69fxhnSNrgvTEBp,Worst of You,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,4apk5d5EnIhcko0WGOpLtM,Worst of You,197369,False,62,0.741,0.466,4,-7.258,1,0.0357,0.558,0.0,0.0583,0.351,102.058
spotify:track:44yl5nat5DR8YVWn0SBXN2,Understand It,Xavier Mayne,5ZD5SEaKtPcA27WyUOwcxS,4KCFmlerpQRigGMJ9ih7rp,Understand It,221788,True,31,0.452,0.634,7,-5.897,0,0.129,0.236,0.000129,0.113,0.121,169.908
spotify:track:2E124GmJRnBJuXbTb4cPUB,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,0gjZidNFs7O2qqE2Z5elJ3,FEFE (feat. Nicki Minaj & Murda Beatz),179404,True,0,0.931,0.387,1,-9.127,1,0.412,0.088,0.0,0.136,0.376,125.978
