uri,title,artist_name,artist_id,album_id,album_name,length,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:3pfdwzqLYcN20GvoYno1Oz,Girls Chase Boys,Ingrid Michaelson,2vm8GdHyrJh2O2MfbQFYG0,2QdUEzKqTKQsxs4lYJdfZV,Girls Chase Boys,221413,False,0,0.473,0.82,8,-5.702,1,0.0408,0.031,1.55e-05,0.0414,0.678,84.893
spotify:track:2NniAhAtkRACaMeYt48xlD,50 Ways to Say Goodbye,Train,3FUY2gzHeIiaesXtOAdB7A,5zseibu9WEsPaZmkJUMkz1,California 37,247946,False,69,0.591,0.935,6,-2.664,1,0.0478,0.000284,0.000278,0.142,0.736,140.043
spotify:track:66ZcOcouenzZEnzTJvoFmH,The Sweet Escape,Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,7xnZ539lh8x6de9jzlpCJp,The Sweet Escape,246466,False,73,0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961
spotify:track:2uHSDyFByIUeTUAxZCTRp0,Full Circle,Quinn XCII,3ApUX1o6oSz321MMECyIYd,1HfoBMdOby33PIexzQhS88,Full Circle,217836,False,0,0.751,0.547,1,-7.898,1,0.138,0.202,0.0,0.102,0.481,78.007
spotify:track:5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,4WN5naL3ofxrVBgFpguzKo,2sjjFDjZSCYD5eBCsi0fDW,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",210772,False,73,0.653,0.809,0,-4.057,1,0.0474,0.194,0.0,0.165,0.55,92.213
spotify:track:7cM9Kqto11iJpY2RwgVJSq,Flare Guns,Quinn XCII,3ApUX1o6oSz321MMECyIYd,7j7cqgeWmYH9PbKe3S5oJj,The Story of Us,240013,False,61,0.812,0.472,1,-6.806,0,0.0603,0.26,0.0,0.285,0.457,92.951
spotify:track:2AVZJ4u8JOhcYBX5yHGdrX,"It's On Us (Benefiting the ""It's On Us"" Campaign)",AJR,6s22t5Y3prQHyaHWUN1R1C,55pMqKEILF5z5kxkAAmomt,"It's On Us (Benefiting the ""It's On Us"" Campaign)",207671,False,54,0.493,0.718,9,-4.634,1,0.0399,0.0636,0.0,0.08,0.328,88.05
spotify:track:0tp63L82d21GTlvZuKSHGY,Call If You Need Me,Vance Joy,10exVja0key0uqUkk6LJRT,5f6Eu9QtujgGggq5qbbycV,Nation of Two,163720,False,52,0.748,0.573,0,-6.057,1,0.0332,0.879,0.00581,0.0989,0.463,110.177
spotify:track:2dgFqylK6gyILa4HY65u0y,I'm Ready,AJR,6s22t5Y3prQHyaHWUN1R1C,68ZGCwTDtJGbC3E3gL6d48,Living Room,227311,False,61,0.628,0.867,9,-3.555,1,0.0913,0.0108,0.0,0.308,0.597,78.043
spotify:track:6rrKbzJGGDlSZgLphopS49,Unstoppable,The Score,2q3GG88dVwuQPF4FmySr9I,6pUg9RDDoVyQQVJ48FkmXz,ATLAS,192106,False,73,0.485,0.843,1,-3.993,0,0.0467,0.00129,1.01e-05,0.14,0.602,78.001
spotify:track:79jX8RM5CgPqDKdGEKNW9K,In My Blood,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,0OrcP3iH5AnzeEmvlpunlN,In My Blood,211600,False,0,0.628,0.715,5,-7.097,1,0.0541,0.0524,0.0,0.119,0.429,139.991
