uri,title,artist_name,artist_id,album_id,album_name,length,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:7d6XJZjnm7iWcKwYL9z5kC,Noticed,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,12jezmwBTps6BhsoESxeqG,Noticed,165000,True,0,0.699,0.558,11,-7.622,1,0.0603,0.462,0.0,0.116,0.493,79.992
spotify:track:7ByfFjT83MNmisdzhZ50Fv,With You,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2NC8QmrFfN8ojgxzamiM4b,Exclusive - The Forever Edition,252120,False,0,0.662,0.693,3,-4.298,1,0.0698,0.134,0.0,0.145,0.655,86.009
spotify:track:1H5tvpoApNDxvxDexoaAUo,Who Let The Dogs Out,Baha Men,67FFKYikvTlvsPNk4NPOYJ,44UH34qoCNNfEqo0VnOkGd,Who Let The Dogs Out,198400,False,67,0.869,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.148,0.784,129.221
spotify:track:6xcjGCRaSGl7wSpxAdCp0j,Home by Midnight,August Twelfth,2HDIslmDoHPW4JoNySl3RY,7zCNwwQkCUsE6w1H4peJeU,Home by Midnight,250684,True,0,0.502,0.639,1,-8.322,1,0.0442,0.0292,0.0,0.211,0.35,89.988
spotify:track:0nyrltZrQGAJMBZc1bYvuQ,Get Up Offa That Thing,James Brown,7GaxyUddsPok8BuhxN6OUW,6MjOv3BeIjmht2ymtRih3s,20 All-Time Greatest Hits!,250200,False,0,0.883,0.664,4,-10.395,1,0.411,0.225,2.3e-06,0.941,0.8,118.104
spotify:track:1eRqy8jW4ZLMJR6dl3xsgI,Lovefool - Radio Edit,The Cardigans,1tqZaCwM57UFKjWoYwMLrw,1pstYUSjG1gM0k1Sn2KYrH,First Band On The Moon,193893,False,0,0.644,0.599,9,-7.941,1,0.0291,0.0445,0.0,0.286,0.948,111.829
spotify:track:3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,3mumK2ar9b4JPhVOZR0V2p,Finesse (Remix) [feat. Cardi B],217288,False,75,0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115
spotify:track:3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,6TqRKHLjDu5QZuC8u5Woij,The Diary Of Alicia Keys,228706,False,81,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402
spotify:track:0dshP149Ve2lK3GRizNC0N,East Northumberland High,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,3BdqKi8c48NUvZ7ppk3wHV,Hannah Montana 2 / Meet Miley Cyrus,204293,False,0,0.498,0.83,10,-3.779,1,0.0537,0.00232,5.69e-06,0.137,0.683,81.726
spotify:track:48O0GrGJWml3DzHhC5sJ7a,Karma Chameleon,Culture Club,6kz53iCdBSqhQCZ21CoLcc,7gdwk8zdee8ghIq94Z9ck3,At Worst...The Best Of Boy George And Culture Club,241600,False,63,0.676,0.577,10,-12.031,1,0.0365,0.186,0.0,0.148,0.934,91.98
spotify:track:3n3foZAJ9FO7uo0lodxWkp,Crazy Rap (Colt 45 & 2 Zig Zags),Afroman,4Icvbp9RDt5aY2TWDOVDsr,5y6aR5KnRnA2hkFXAXHtq0,The Good Times,328666,True,0,0.928,0.371,9,-7.887,1,0.375,0.325,0.0,0.171,0.55,99.061
spotify:track:4vb4mFvYsr2h6enhjJsq9Y,Water Under the Bridge,Adele,4dpARuHxo51G3z768sgnrY,0K4pIOOsfJ9lK8OjrZfXzd,25,240426,False,0,0.596,0.838,5,-6.52,0,0.0704,0.0189,1.54e-05,0.108,0.472,94.982
spotify:track:10zycm3kRmxg5etQ8Qhpq4,What the Hell,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,3ApNn52XU6LBKOU6CG8TL5,What the Hell,219653,False,0,0.577,0.934,2,-3.672,1,0.0554,0.00405,0.0064,0.123,0.855,149.964
spotify:track:3nkNpAoC3HMNwct5caOGc5,Somebody To Love - The Voice Performance,James Wolpert,3c95qPRLU7Jpu9rC3rc5A0,15osIgAhk86fSxF4F9OlQg,Somebody To Love (The Voice Performance),210715,False,10,0.507,0.922,8,-3.597,1,0.06,0.163,0.0,0.229,0.469,110.977
spotify:track:2c64HwzgAPATRJLF2aj6Ik,Reproduction,Tab Hunter,0pVnnK639XgJiMuv10JLRe,5WVPtycFFSm3uGhufMKwGn,Grease 2 (Original Motion Picture Soundtrack),247493,False,41,0.82,0.511,2,-9.032,1,0.0693,0.424,0.0,0.117,0.747,144.407
spotify:track:5ByAIlEEnxYdvpnezg7HTX,Juicy - 2005 Remaster,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,2HTbQ0RHwukKVXAlTmCZP2,Ready to Die (The Remaster),302760,True,77,0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063
spotify:track:5JEx7HbmvHQQswJCsoo9rA,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,4bLCVUEB9YWKEeaJm8FfqQ,Close To Me (feat. Swae Lee),182623,True,65,0.575,0.758,1,-5.029,0,0.0618,0.0954,0.0,0.394,0.493,144.107
spotify:track:3YbtjYddK11NTDdUpC4nGp,Oxygen,Dirty Heads,6GkJh85o22LfD2vgL9DP6f,2yt8pr76AIWu3ohmnZKNcd,Dirty Heads,225394,False,59,0.68,0.878,8,-3.923,0,0.0554,0.0744,0.0,0.137,0.769,169.987
spotify:track:2SPEg45ZaUFJCg9GwNmRvw,None Of My Business,Cher Lloyd,4m4SfDVbF5wxrwEjDKgi4k,6Np7PYk4uftUoNc4hOKu8v,None Of My Business,184004,False,64,0.793,0.488,2,-5.807,0,0.0462,0.428,0.0,0.0823,0.5,133.957
spotify:track:3ngc7rGlfeFaskU90EWl4R,You Say,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,7dnYwtDQNa3xzaCoekrjL1,Look Up Child,274693,False,0,0.494,0.637,5,-6.381,1,0.0333,0.669,0.0,0.0882,0.1,147.924
spotify:track:5b3auymspp8YgCB9672fbR,Bad,Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,6vKRpHOZrSbio57nqqFpBg,Bad,177973,False,0,0.827,0.613,8,-5.34,1,0.0621,0.366,1.25e-05,0.093,0.747,137.96
spotify:track:4w7yrP4RAeeyhfG9nJqQvS,I Don't Fuck With You,Big Sean,0c173mlxpT3dSFRgMO8XPh,3QZ9gSv35M8vfQA127l3vn,Dark Sky Paradise (Deluxe),284386,True,0,0.823,0.733,1,-5.474,1,0.0628,0.0349,0.0,0.324,0.397,97.972
spotify:track:550rQQCGkrTzvp4SfpOPzx,Hallelujah,Pentatonix,26AHtbjWKiwYzsoGoUZq53,3oXvzShPN8iY2P1UYl3WVJ,A Pentatonix Christmas,268960,False,77,0.322,0.377,7,-7.385,0,0.0356,0.454,0.0,0.338,0.366,118.669
spotify:track:1xKScU3i8ho0OIhNoC5YW9,Can't Help Falling In Love,Pentatonix,26AHtbjWKiwYzsoGoUZq53,00JpoY0ZaQRXTNJUruibfX,PTX Vol. IV - Classics,178200,False,53,0.272,0.16,9,-9.947,1,0.0323,0.729,0.0,0.18,0.142,98.612
