uri,title,artist_name,artist_id,album_id,album_name,length,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:37aStseEdbd33KlmUlIHX6,Ten More Days,Avicii,1vCWHaC5f2uS3yhpwWbIA6,5ttIIMPWCp2bvwsdAPcEXC,Stories,245813,False,0,0.585,0.668,6,-3.816,1,0.0306,0.0217,1.16e-05,0.098,0.299,137.981
spotify:track:2So9pYqQ0JWvFhasJfI871,Adventure of a Lifetime - Matoma Remix,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,1TbYQD52H9tKtZine3mHHJ,Adventure of a Lifetime (Matoma Remix),250714,False,47,0.651,0.771,9,-6.541,0,0.0313,0.00381,1.71e-05,0.238,0.456,112.015
spotify:track:6757Pp7vTy2a4qUPWCLvmH,Hurricane,MisterWives,5ivCbtrcD5N4rD337xIb2z,726GB3GTBwPdsGr5XzOQbz,Our Own House,239186,False,35,0.564,0.736,1,-6.135,1,0.0345,0.0198,0.0,0.138,0.422,101.02
spotify:track:7HwoUfASF7xwt4vFEhkQF3,Seeing Stars,BØRNS,1KP6TWI40m7p3QBTU6u2xo,3QykM79uWpxMEc3e29D711,Candy,189453,False,47,0.638,0.893,6,-4.21,0,0.059,0.0534,0.0,0.258,0.904,91.981
spotify:track:02kdNcUqZRgXwQiYr92gZW,On Fire (feat. Maribelle),Carmada,4R3mzuQZhfwDkjdE1wx31O,6tLw6pHcjkI7YfjbBWblj6,Realise,230506,True,33,0.486,0.744,7,-6.082,0,0.356,0.0302,6.68e-05,0.0914,0.402,94.965
spotify:track:05wFHt1ZAsFU8GKbHV7nxo,The Party Line,Belle and Sebastian,4I2BJf80C0skQpp1sQmA0h,3Gy0FCDIx9MoliXd3YcTBt,Girls in Peacetime Want to Dance,254115,False,0,0.655,0.746,9,-6.876,0,0.0481,0.0148,4.42e-06,0.102,0.675,116.986
spotify:track:3LKRwbcHRS0yCzjMLMV0KB,Love Me,The 1975,3mIj9lX2MWuHmhNCA7LSCW,3AqhjN79TQZ1bK1FCLJ9fs,Love Me,222685,False,33,0.634,0.805,10,-3.129,0,0.0376,0.00817,1.65e-05,0.134,0.902,97.002
spotify:track:09ISyLOPeuno7kKlzdbZuq,Stamp on the Ground - Radio Edit,ItaloBrothers,5nkYRuiIHg2xXHFC8bfosJ,1OS81VthdrXXDhtMc2MF0q,Stamp On The Ground,198986,False,60,0.635,0.828,11,-7.575,0,0.0592,0.204,0.00924,0.116,0.276,149.953
spotify:track:46THN9jjPWhSqFUu6YsBhv,Panda,Desiigner,7pFeBzX627ff0VnN6bxPR4,6SK5vZcB1MiTtzdVtFilLo,Panda,247866,True,0,0.679,0.734,10,-5.542,0,0.444,0.0241,1.65e-06,0.369,0.245,145.028
spotify:track:3C3cr2JQwXIhqAHqOardVO,Holding on to You,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,2r2r78NE05YjyHyVbVgqFn,Vessel,263733,False,66,0.608,0.776,11,-3.635,1,0.0511,0.241,0.0,0.0713,0.814,89.996
spotify:track:0jkhatWqHqW8o4HLeHZXAc,Chernobyl,Highasakite,5awQWdBpLqN2KFVRN8w56T,0WUReoqoMYkxTdGuX2hXQH,Camp Echo,333982,False,0,0.422,0.493,7,-9.793,0,0.0318,0.216,0.00178,0.0633,0.0398,129.803
spotify:track:1cVEUehEsGAMD1NJjIc3RX,The Beauty Surrounds,Houses,648kpaANsUr1HABoE4mkPw,47XBGwM1vhxdpfr6Q1Fc0x,A Quiet Darkness,355973,False,23,0.312,0.59,7,-6.779,1,0.0307,0.111,0.00151,0.105,0.158,95.019
spotify:track:4DnEM1uVd8g23jefPmMpzX,Video Games,The Young Professionals,3jcHyrPcJhrTMdlthE8p74,1ZHctbaEjbVW9QoJSxoigj,Remixes & Covers,228706,False,0,0.568,0.891,4,-4.695,0,0.038,0.0317,0.0,0.0566,0.312,141.932
spotify:track:1JHl9grJxQWKY8eAhnzXJ6,All Of It But Me,The Young Professionals,3jcHyrPcJhrTMdlthE8p74,1ZHctbaEjbVW9QoJSxoigj,Remixes & Covers,190039,False,0,0.765,0.767,6,-5.348,0,0.0519,0.0109,0.0,0.212,0.671,126.056
spotify:track:1v0aDPcrSR1ZNzV5tq4OZY,Swim,Fickle Friends,1nhSLEYdoBHG6cJ8NDwoF1,0IUFz2IFvRLfBm5p8BMg9P,Swim,197624,False,0,0.628,0.826,5,-4.138,1,0.0424,0.212,0.0,0.15,0.703,104.988
spotify:track:21AHQlJa5Q0s1Jx2PeulUD,Love in the Middle of a Firefight (feat. Brendon Urie),Dillon Francis,5R3Hr2cnCCjt220Jmt2xLf,0GJ7jQJRIQNDjz54cPo2XI,"Money Sucks, Friends Rule",199186,False,38,0.486,0.739,2,-2.714,0,0.0255,0.00465,0.0,0.0428,0.274,93.984
spotify:track:28OBjsObwOY6JY86C2dalp,Come Back To Me,Urban Cone,3WOOglGBDGvr6c2WBeMAWn,0QpiTW4AowzaVJQtiVeR3d,Polaroid Memories,185609,False,30,0.359,0.805,9,-2.397,1,0.0359,0.105,0.00192,0.172,0.379,84.927
spotify:track:2YxM5vNyhtf7J9PJO1chJ2,"Do It, Try It",M83,63MQldklfxkjYDoUE4Tppz,7CfdecqjyHMjKjPVi5HwX7,Junk,217440,False,0,0.58,0.707,7,-7.355,0,0.0363,0.0187,0.014,0.034,0.156,116.949
spotify:track:0iHbzcv3YmX9Y6mERNOqVt,Conqueror,AURORA,1WgXqy2Dd70QQOU7Ay074N,5aAh0twnCRixR1t13CuCYd,All My Demons Greeting Me As A Friend (Deluxe),207506,False,34,0.467,0.565,7,-6.732,1,0.0403,0.00411,0.00475,0.175,0.522,184.014
spotify:track:0UPsdEgJx6ypkfFUxD3ZHh,Don't Move,Phantogram,1l9d7B8W0IHy3LqWsxP2SH,76MThARuTPq59l5oseVCJT,Nightlife,258186,False,0,0.558,0.642,5,-5.206,0,0.0321,7.19e-05,0.00746,0.201,0.482,99.977
spotify:track:70Cp0ukCMyWeJML77NGERU,Semi-Automatic,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,2r2r78NE05YjyHyVbVgqFn,Vessel,253680,False,60,0.78,0.716,6,-4.551,0,0.0439,0.0489,5.92e-06,0.0704,0.362,105.017
spotify:track:7rv2OmWaCQwHKCavHYWlt6,Telescope (feat. ARY),Carl Louis,5LY4Rzduoz5b0qZdV3rHwK,12d1vYor9JHp9LlO8EpNDA,Telescope (feat. ARY),280000,False,27,0.359,0.284,2,-15.414,0,0.0357,0.395,0.795,0.118,0.0393,104.943
spotify:track:2VIcYj0rGuylWVI4dAn29H,Om sanningen ska fram (Vill du ligga med mig?) - Clubedit Radio,Eric Amarillo,5HxKKPj16v49acipUsZfQh,2XLF50mGGT9Cpmwr4Yia1o,Om sanningen ska fram (Vill du ligga med mig?),172160,False,36,0.559,0.867,5,-4.054,0,0.0752,0.0307,0.0,0.121,0.401,124.978
spotify:track:0gyJUQZG3HTRKsGobSofCw,Golden Ticket,Highasakite,5awQWdBpLqN2KFVRN8w56T,0WUReoqoMYkxTdGuX2hXQH,Camp Echo,232626,False,0,0.654,0.823,5,-6.969,1,0.0335,0.0409,0.293,0.102,0.761,100.027
spotify:track:46UnU661kUIuYAlRnhvCxB,Someone Who'll Get It,Highasakite,5awQWdBpLqN2KFVRN8w56T,0WUReoqoMYkxTdGuX2hXQH,Camp Echo,221893,False,0,0.549,0.784,5,-6.213,0,0.0416,0.0346,0.0296,0.117,0.781,165.006
spotify:track:3YGRt6cKlo8yIKKQovjtmi,Make It Personal,Sonny Alven,2zHHEU3t9cutZFyG0fHdOR,1zuzguo3omjElVQrZHywTJ,Make It Personal,210960,False,0,0.618,0.398,6,-11.868,0,0.0496,0.833,0.00655,0.119,0.186,100.06
spotify:track:2kpziA4mHuM7Na6La4upg1,Coming Over - filous Remix,James Hersey,0lzV2CiahHRiGd6qpADtPS,24zMrWtj8r3QmczFyWhrPM,Coming Over (filous Remix),198545,False,6,0.791,0.494,8,-11.077,1,0.0456,0.478,0.00475,0.0996,0.317,109.998
spotify:track:2F7T0Cm1iOkqptcciin1Tk,Roll the Dice (Urban Contact Remix) - Radio Edit,Dawa,7d2TmDcODDON6yZTLm8n5p,4NCq7OwQ1wCfCPvj9gr413,Roll the Dice (Urban Contact Remix) [Radio Edit],191000,False,0,0.787,0.73,10,-7.177,1,0.0334,0.0422,0.0318,0.0635,0.398,120.013
spotify:track:1pnwoWbZcS77Dx0jQVYK8X,Till Sunrise (feat. Mammals),Goldroom,4eZebkMFU3xelF8mbZYXyl,0EDKcvwuKdPn4M2ICXG90w,Till Sunrise (feat. Mammals),246148,False,44,0.528,0.737,0,-5.705,1,0.0296,0.0144,0.692,0.0739,0.175,84.029
spotify:track:2jlGGSZXifZOrzo2FMlnxz,Daydreamer - Gryffin Remix,Bipolar Sunshine,0CjWKoS55T7DOt0HJuwF1H,0SCVgboa4iv0E8gYdotPfm,Daydreamer (Gryffin Remix),251027,False,39,0.608,0.926,9,-4.946,0,0.0286,0.0216,0.106,0.116,0.365,113.017
