uri,title,artist_name,artist_id,album_id,album_name,length,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:5VVWgWH8HFLAtM8lbttvn9,Stockholm Syndrome,Muse,12Chz98pHFMPJEknJQMWvI,0HcHPBu9aaF1MxOiZmUQTl,Absolution,297000,False,61,0.434,0.977,2,-4.845,1,0.0786,0.00187,0.166,0.347,0.0939,128.223
spotify:track:2daZovie6pc2ZK7StayD1K,Dead Inside,Muse,12Chz98pHFMPJEknJQMWvI,2wart5Qjnvx1fd7LPdQxgJ,Drones,262947,False,58,0.65,0.758,8,-5.021,1,0.0507,0.000259,0.000492,0.276,0.603,100.005
spotify:track:1D2ISRyHAs9QBHIWVQIbgM,Something Human (Acoustic),Muse,12Chz98pHFMPJEknJQMWvI,5OZgDtx180ZZPMpm36J2zC,Simulation Theory (Super Deluxe),226333,False,49,0.609,0.832,9,-5.284,1,0.039,0.425,4.44e-05,0.17,0.654,105.023
spotify:track:09oOhscdjOI4JzxgP9t0x3,Bliss,Muse,12Chz98pHFMPJEknJQMWvI,1AP6uGYHdakRgwuWQsP5pK,Origin of Symmetry,251146,False,44,0.447,0.8,0,-9.482,0,0.047,0.000258,0.00206,0.113,0.251,127.956
spotify:track:35zrlBOjpfDPMcZzglWOuV,Thought Contagion,Muse,12Chz98pHFMPJEknJQMWvI,1BiugL7r9tzsQj2iBezCfW,Thought Contagion,206098,False,0,0.479,0.765,5,-3.669,1,0.0427,0.000965,2.96e-05,0.0825,0.39,139.917
spotify:track:2qkmPUG7ARsRwhVICQVwQS,Mercy,Muse,12Chz98pHFMPJEknJQMWvI,2wart5Qjnvx1fd7LPdQxgJ,Drones,231973,False,57,0.482,0.926,7,-4.789,1,0.0549,0.00952,0.0,0.311,0.371,130.007
spotify:track:4PrlkCGa3bBmU7QIboyxII,The Dark Side,Muse,12Chz98pHFMPJEknJQMWvI,6OX3blc5vb3huGk2PTM0Kk,The Dark Side / Something Human / Thought Contagion / Dig Down,227213,False,0,0.484,0.927,2,-3.759,1,0.0425,0.000884,3.96e-06,0.223,0.389,99.979
spotify:track:6kyxQuFD38mo4S3urD2Wkw,Unintended,Muse,12Chz98pHFMPJEknJQMWvI,6AyUVv7MnxxTuijp4WmrhO,Showbiz,237026,False,61,0.487,0.279,6,-11.586,0,0.0265,0.647,0.00185,0.11,0.162,139.362
spotify:track:2IFqUmfW8oQoKn6ToxKsMs,Survival,Muse,12Chz98pHFMPJEknJQMWvI,3KuXEGcqLcnEYWnn3OEGy0,The 2nd Law,257466,False,56,0.557,0.826,10,-4.545,0,0.0394,0.000692,0.188,0.0914,0.632,164.01
spotify:track:114rzL6VEy9bb3amPcY3tw,I Belong to You (+Mon Coeur S'Ouvre a Ta Voix),Muse,12Chz98pHFMPJEknJQMWvI,0eFHYz8NmK75zSplL5qlfM,The Resistance,338813,False,52,0.481,0.603,2,-6.59,1,0.028,0.166,0.0321,0.109,0.213,105.974
